metric_name,position,value
hand_vel_total,"BR AVG",21.503820224
hand_vel_x,"BR AVG",3.16147191
hand_vel_y,"BR AVG",-19.387449438
hand_vel_z,"BR AVG",-8.689932584
hip_rotation,"FP AVG",33.251685393
hip_rotation,"BR AVG",78.155056179
hip_rotation,"Sit AVG",-14.751685393
hip_rotation_vel,"FP AVG",510.514662921
hip_rotation_vel,"BR AVG",178.823617977
hip_rotation_vel,"Sit AVG",43.011921348
hip_tilt,"FP AVG",2.001123595
hip_tilt,"BR AVG",-8.561797752
hip_tilt,"Sit AVG",4.97977528
hip_tilt_vel,"FP AVG",-75.705280898
hip_tilt_vel,"BR AVG",-79.960078651
hip_tilt_vel,"Sit AVG",-22.492606741
lead_elbow_rot,"FP AVG",-10.758426966
lead_elbow_rot,"BR AVG",101.93483146
lead_elbow_rot,"Sit AVG",-28.559550561
lead_elbow_rot_vel,"FP AVG",698.064213483
lead_elbow_rot_vel,"BR AVG",649.67541573
lead_elbow_rot_vel,"Sit AVG",-55.213696629
lead_elbow_tilt,"FP AVG",-2.056179775
lead_elbow_tilt,"BR AVG",11.551685393
lead_elbow_tilt,"Sit AVG",-35.282022471
lead_elbow_tilt_vel,"FP AVG",83.312707865
lead_elbow_tilt_vel,"BR AVG",275.725808988
lead_elbow_tilt_vel,"Sit AVG",40.996022471
lead_wrist_rot,"FP AVG",-10.051685393
lead_wrist_rot,"BR AVG",98.893258426
lead_wrist_rot,"Sit AVG",-22.697752808
lead_wrist_rot_vel,"FP AVG",464.566696629
lead_wrist_rot_vel,"BR AVG",909.25235955
lead_wrist_rot_vel,"Sit AVG",-240.413033707
lead_wrist_tilt,"FP AVG",34.051685393
lead_wrist_tilt,"BR AVG",19.287640449
lead_wrist_tilt,"Sit AVG",-36.459550561
lead_wrist_tilt_vel,"FP AVG",30.100719101
lead_wrist_tilt_vel,"BR AVG",317.07288764
lead_wrist_tilt_vel,"Sit AVG",64.462202247
lelbow_flex,"FP AVG",102.251685393
lelbow_flex,"BR AVG",121.104494382
lelbow_flex,"Sit AVG",29.403370786
lelbow_flex_vel,"FP AVG",345.50141573
lelbow_flex_vel,"BR AVG",-190.738348314
lelbow_flex_vel,"Sit AVG",-613.979292134
lhip_horizontal,"FP AVG",66.471910112
lhip_horizontal,"BR AVG",97.02247191
lhip_horizontal,"Sit AVG",50.528089887
lhip_horizontal_vel,"FP AVG",397.800910112
lhip_horizontal_vel,"BR AVG",126.413662921
lhip_horizontal_vel,"Sit AVG",-243.274292134
lhip_vertical,"FP AVG",36.393258426
lhip_vertical,"BR AVG",44.805617977
lhip_vertical,"Sit AVG",52.791011235
lhip_vertical_vel,"FP AVG",67.58683146
lhip_vertical_vel,"BR AVG",28.953370786
lhip_vertical_vel,"Sit AVG",-63.251033707
lknee_flex,"FP AVG",20.851685393
lknee_flex,"BR AVG",4.019101123
lknee_flex,"Sit AVG",7.815730337
lknee_flex_vel,"FP AVG",12.381089887
lknee_flex_vel,"BR AVG",-92.19447191
lknee_flex_vel,"Sit AVG",-272.521752808
lshoulder_horizontal,"FP AVG",-10.105617977
lshoulder_horizontal,"BR AVG",-75.619101123
lshoulder_horizontal,"Sit AVG",2.259550561
lshoulder_horizontal_vel,"FP AVG",270.875022471
lshoulder_horizontal_vel,"BR AVG",322.475370786
lshoulder_horizontal_vel,"Sit AVG",67.29247191
lshoulder_vertical,"FP AVG",73.761797752
lshoulder_vertical,"BR AVG",27.46741573
lshoulder_vertical,"Sit AVG",80.26741573
lshoulder_vertical_vel,"FP AVG",-726.765977528
lshoulder_vertical_vel,"BR AVG",-44.930460674
lshoulder_vertical_vel,"Sit AVG",206.318966292
relbow_flex,"FP AVG",73.201123595
relbow_flex,"BR AVG",24.617977528
relbow_flex,"Sit AVG",14.102247191
relbow_flex_vel,"FP AVG",178.948179775
relbow_flex_vel,"BR AVG",-910.43683146
relbow_flex_vel,"Sit AVG",-200.840573033
release_time,AVG,-0.01177528
rhip_horizontal,"FP AVG",-39.404494382
rhip_horizontal,"BR AVG",-71.685393258
rhip_horizontal,"Sit AVG",66.370786516
rhip_horizontal_vel,"FP AVG",-838.38741573
rhip_horizontal_vel,"BR AVG",25.281202247
rhip_horizontal_vel,"Sit AVG",-92.256539325
rhip_vertical,"FP AVG",38.755056179
rhip_vertical,"BR AVG",9.920224719
rhip_vertical,"Sit AVG",65.460674157
rhip_vertical_vel,"FP AVG",-157.61830337
rhip_vertical_vel,"BR AVG",-70.432820224
rhip_vertical_vel,"Sit AVG",16.180325842
rknee_flex,"FP AVG",35.201123595
rknee_flex,"BR AVG",57.355056179
rknee_flex,"Sit AVG",63.703370786
rknee_flex_vel,"FP AVG",89.239550561
rknee_flex_vel,"BR AVG",200.322966292
rknee_flex_vel,"Sit AVG",-135.301044943
rshoulder_horizontal,"FP AVG",-22.13483146
rshoulder_horizontal,"BR AVG",19.538202247
rshoulder_horizontal,"Sit AVG",-23.983146067
rshoulder_horizontal_vel,"FP AVG",30.875011235
rshoulder_horizontal_vel,"BR AVG",205.906629213
rshoulder_horizontal_vel,"Sit AVG",157.755179775
rshoulder_vertical,"FP AVG",82.410112359
rshoulder_vertical,"BR AVG",110.405617977
rshoulder_vertical,"Sit AVG",47.438202247
rshoulder_vertical_vel,"FP AVG",183.272134831
rshoulder_vertical_vel,"BR AVG",-45.496797752
rshoulder_vertical_vel,"Sit AVG",153.785
stride_direction,AVG,35.756438202
stride_length,AVG,5.002550561
time,"FP AVG",-0.126191011
time,"Sit AVG",-0.33577528
torso_flexion,"FP AVG",8.762921348
torso_flexion,"BR AVG",23.380898876
torso_flexion,"Sit AVG",-10.328089887
torso_flexion_vel,"FP AVG",119.893134831
torso_flexion_vel,"BR AVG",105.223730337
torso_flexion_vel,"Sit AVG",-17.727764044
torso_rotation,"FP AVG",8.703370786
torso_rotation,"BR AVG",98.987640449
torso_rotation,"Sit AVG",-30.853932584
torso_rotation_vel,"FP AVG",689.892910112
torso_rotation_vel,"BR AVG",607.326033707
torso_rotation_vel,"Sit AVG",-75.775146067
torso_tilt,"FP AVG",1.402247191
torso_tilt,"BR AVG",-27.231460674
torso_tilt,"Sit AVG",9.684269662
torso_tilt_vel,"FP AVG",-365.256033707
torso_tilt_vel,"BR AVG",142.867393258
torso_tilt_vel,"Sit AVG",28.219157303
,NULL,0
hand_vel_total,"BR STD",0.6496776480167163
hand_vel_x,"BR STD",0.66401463856017
hand_vel_y,"BR STD",0.6726022918107867
hand_vel_z,"BR STD",0.748513009768168
hip_rotation,"FP STD",5.502994330148962
hip_rotation,"BR STD",2.128301070403829
hip_rotation,"Sit STD",1.034691764290223
hip_rotation_vel,"FP STD",26.887407236220792
hip_rotation_vel,"BR STD",34.8828012596355
hip_rotation_vel,"Sit STD",13.478044336202684
hip_tilt,"FP STD",1.0363607872518945
hip_tilt,"BR STD",1.3768148895167236
hip_tilt,"Sit STD",0.6794213954883899
hip_tilt_vel,"FP STD",17.9291352774611
hip_tilt_vel,"BR STD",11.694993044874222
hip_tilt_vel,"Sit STD",9.984293785536847
lead_elbow_rot,"FP STD",5.348901157525784
lead_elbow_rot,"BR STD",1.7493562940420782
lead_elbow_rot,"Sit STD",1.8429165393579277
lead_elbow_rot_vel,"FP STD",70.73812654876119
lead_elbow_rot_vel,"BR STD",13.114685672475805
lead_elbow_rot_vel,"Sit STD",34.4635555155462
lead_elbow_tilt,"FP STD",2.9506028733117327
lead_elbow_tilt,"BR STD",3.015991549162249
lead_elbow_tilt,"Sit STD",0.8134490029460336
lead_elbow_tilt_vel,"FP STD",51.22778995801084
lead_elbow_tilt_vel,"BR STD",48.134021091367345
lead_elbow_tilt_vel,"Sit STD",16.057730545415133
lead_wrist_rot,"FP STD",4.602371454168624
lead_wrist_rot,"BR STD",1.7581142702191102
lead_wrist_rot,"Sit STD",2.5429337002889283
lead_wrist_rot_vel,"FP STD",59.70156256032097
lead_wrist_rot_vel,"BR STD",25.77896735898167
lead_wrist_rot_vel,"Sit STD",21.64664377050057
lead_wrist_tilt,"FP STD",1.0886660592959727
lead_wrist_tilt,"BR STD",2.6517249092466044
lead_wrist_tilt,"Sit STD",0.6559527081342638
lead_wrist_tilt_vel,"FP STD",56.275079904203345
lead_wrist_tilt_vel,"BR STD",57.743913239899456
lead_wrist_tilt_vel,"Sit STD",9.93784077691982
lelbow_flex,"FP STD",3.251347598211156
lelbow_flex,"BR STD",3.7030782856016335
lelbow_flex,"Sit STD",4.918880146560312
lelbow_flex_vel,"FP STD",41.187539412147025
lelbow_flex_vel,"BR STD",81.09734031675583
lelbow_flex_vel,"Sit STD",78.76218976849307
lhip_horizontal,"FP STD",3.3723591836918065
lhip_horizontal,"BR STD",1.0807563736099823
lhip_horizontal,"Sit STD",2.2886622737215205
lhip_horizontal_vel,"FP STD",43.096261873567094
lhip_horizontal_vel,"BR STD",21.561539568940972
lhip_horizontal_vel,"Sit STD",19.42593925495315
lhip_vertical,"FP STD",2.010969789681883
lhip_vertical,"BR STD",2.1114114534995507
lhip_vertical,"Sit STD",2.0285402095832947
lhip_vertical_vel,"FP STD",20.576503426025937
lhip_vertical_vel,"BR STD",14.406357877322217
lhip_vertical_vel,"Sit STD",13.643814744203501
lknee_flex,"FP STD",1.839889613173315
lknee_flex,"BR STD",0.6823417056410702
lknee_flex,"Sit STD",2.3907546115557663
lknee_flex_vel,"FP STD",26.580409455948065
lknee_flex_vel,"BR STD",44.082921722307084
lknee_flex_vel,"Sit STD",63.26339755807134
lshoulder_horizontal,"FP STD",2.8487079488172045
lshoulder_horizontal,"BR STD",4.936515543262781
lshoulder_horizontal,"Sit STD",0.8963996777526009
lshoulder_horizontal_vel,"FP STD",91.17857943063312
lshoulder_horizontal_vel,"BR STD",124.33217010807732
lshoulder_horizontal_vel,"Sit STD",28.198993464421996
lshoulder_vertical,"FP STD",5.942410996681214
lshoulder_vertical,"BR STD",1.608738446412604
lshoulder_vertical,"Sit STD",1.5743573884981912
lshoulder_vertical_vel,"FP STD",34.98782373012471
lshoulder_vertical_vel,"BR STD",32.94127935852741
lshoulder_vertical_vel,"Sit STD",13.936611191148469
relbow_flex,"FP STD",3.4776491601875814
relbow_flex,"BR STD",3.059726131452782
relbow_flex,"Sit STD",2.255777975771384
relbow_flex_vel,"FP STD",54.127688017962974
relbow_flex_vel,"BR STD",90.30682974473544
relbow_flex_vel,"Sit STD",120.03344629117667
release_time,STD,0.0021658888150821744
rhip_horizontal,"FP STD",8.965250143616121
rhip_horizontal,"BR STD",1.8025918020723373
rhip_horizontal,"Sit STD",1.2121299154599912
rhip_horizontal_vel,"FP STD",150.40759660028604
rhip_horizontal_vel,"BR STD",26.164709689343667
rhip_horizontal_vel,"Sit STD",16.220685395441556
rhip_vertical,"FP STD",1.0790144521066747
rhip_vertical,"BR STD",1.1199096848899552
rhip_vertical,"Sit STD",2.6720617792733345
rhip_vertical_vel,"FP STD",21.12415137496558
rhip_vertical_vel,"BR STD",34.319317601634225
rhip_vertical_vel,"Sit STD",5.632996033156505
rknee_flex,"FP STD",1.9721370591897944
rknee_flex,"BR STD",2.6909340609608634
rknee_flex,"Sit STD",2.1705614371413042
rknee_flex_vel,"FP STD",30.494248189280995
rknee_flex_vel,"BR STD",30.872239712831078
rknee_flex_vel,"Sit STD",18.751421289598376
rshoulder_horizontal,"FP STD",1.8191306186059228
rshoulder_horizontal,"BR STD",3.5132335890502517
rshoulder_horizontal,"Sit STD",3.963491706406637
rshoulder_horizontal_vel,"FP STD",50.52129078646156
rshoulder_horizontal_vel,"BR STD",44.75550256154743
rshoulder_horizontal_vel,"Sit STD",37.89023785945835
rshoulder_vertical,"FP STD",1.9826236699355901
rshoulder_vertical,"BR STD",2.275287834640562
rshoulder_vertical,"Sit STD",1.7972204267887881
rshoulder_vertical_vel,"FP STD",30.2238627236307
rshoulder_vertical_vel,"BR STD",35.06748864310612
rshoulder_vertical_vel,"Sit STD",39.55007415155204
stride_direction,STD,3.5284376367300756
stride_length,STD,0.11595553305363011
time,"FP STD",0.008250129593118207
time,"Sit STD",0.005091859131543024
torso_flexion,"FP STD",1.4633639883341552
torso_flexion,"BR STD",1.7790210920486007
torso_flexion,"Sit STD",0.9592821243864619
torso_flexion_vel,"FP STD",15.903510157513512
torso_flexion_vel,"BR STD",9.608082278652143
torso_flexion_vel,"Sit STD",6.964868839795989
torso_rotation,"FP STD",5.004008492933323
torso_rotation,"BR STD",1.7198654392569237
torso_rotation,"Sit STD",0.9352108672602317
torso_rotation_vel,"FP STD",48.68063228925684
torso_rotation_vel,"BR STD",27.35391243525717
torso_rotation_vel,"Sit STD",8.510873229931683
torso_tilt,"FP STD",3.0627877999358586
torso_tilt,"BR STD",2.1476716164369667
torso_tilt,"Sit STD",0.6412590979102719
torso_tilt_vel,"FP STD",52.119779888091884
torso_tilt_vel,"BR STD",24.15465293284137
torso_tilt_vel,"Sit STD",6.968454752538538
